license_type,application_classification,approved_license_type,approved_license_stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,application_created_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,lic_expiration_date,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,zip,town,county,county_lat,county_long,region,cccupdatedate,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,issue_date,expiration_date,business_image_url,business_website,business_phone
Marijuana Cultivator,General Applicant,FINAL LICENSE,FINAL LICENSE,,COMPLETE,MC283314,"Advanced Cultivators, LLC",Lowell,MA,01852,42.627672,-71.278608,100 Phoenix Avenue,Units 3 and 5,Lowell,MA,01852,POINT (-71.275566 42.459085),POINT (-71.278608 42.6276719),100 Phoenix Avenue,Units 3 and 5,Lowell,MA,01852,85-1259829,MCN283314,Mon Aug 30 2021 07:40:46 GMT-0400 (Eastern Daylight Time),Tue May 18 2021 12:47:56 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 19:52:58 GMT-0500 (Eastern Standard Time),False,no,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Wed Jan 20 2021 18:01:29 GMT-0500 (Eastern Standard Time),Fri Sep 03 2021 09:46:30 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:33:01 GMT-0500 (Eastern Standard Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Nov 18 2023 03:00:00 GMT-0500 (Eastern Standard Time),100 Phoenix Ave,Units 3 and 5,Middlesex County,400,2500,01852,Lowell,Middlesex,42.459085,-71.275566,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Product Manufacturer,General Applicant,COMMENCE OPS,COMMENCE OPS,4/20/2021,COMPLETE,MP281343,Treeworks of Massachusetts LLC,Hatfield,MA,01088,42.36763,-72.637888,3 West Street,,Hatfield,MA,01088,POINT (-72.62073 42.322256),POINT (-72.637888 42.3676299),3 West Street,,Hatfield,MA,01088,82-5325470,MPN281343,Fri Feb 14 2020 10:36:20 GMT-0500 (Eastern Standard Time),Mon Aug 12 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,False,,,,,,,,,Not a DBE,,,Thu Feb 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Mon May 14 2018 17:48:14 GMT-0400 (Eastern Daylight Time),Thu Feb 20 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 15:40:22 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),3 West St,N/A,Hampshire County,300,10000,01088,West Hatfield,Hampshire,42.322256,-72.62073,,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Product Manufacturer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281514,Higher Purpose Corporation,Lee,MA,01238,42.278149,-73.255698,392 Merrill Rd,,Pittsfield,AK,01201,POINT (-73.209889 42.396128),POINT (-73.255697 42.2781489),392 Merrill Rd,,Pittsfield,MA,01201,83-2229449,MPN281514,Sun May 10 2020 15:22:41 GMT-0400 (Eastern Daylight Time),Fri Oct 11 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,False,,,,,,,,,Not a DBE,,,,Wed Oct 17 2018 09:14:02 GMT-0400 (Eastern Daylight Time),Thu May 21 2020 13:14:45 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:03:26 GMT-0400 (Eastern Daylight Time),Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun May 21 2023 04:00:00 GMT-0400 (Eastern Daylight Time),815 Pleasant St,N/A,Berkshire County,300,10000,01238,Lee,Berkshire,42.396128,-73.209889,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR282796,"LMCC, LLC",Taunton,MA,02780,41.89565,-71.079373,93 County Street,,Taunton,MA,02780,POINT (-71.102131 41.778329),POINT (-71.079373 41.8956500),"8 Bartlett Way, unit 4",,Waltham,MA,02452,84-1976891,MRN282796,Mon Feb 17 2020 20:41:55 GMT-0500 (Eastern Standard Time),Wed Oct 16 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,False,,,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,Wed Jun 19 2019 12:20:25 GMT-0400 (Eastern Daylight Time),Thu Mar 05 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri May 08 2020 14:46:20 GMT-0400 (Eastern Daylight Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 21 2024 03:00:00 GMT-0500 (Eastern Standard Time),93 County St,N/A,Bristol County,300,5000,02780,Taunton,Bristol,41.778329,-71.102131,Southeast and Cape,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - DBE Status,COMMENCE OPS,COMMENCE OPS,2/4/2021,COMPLETE,MR282474,"Full Harvest Moonz, Inc.",Haverhill,MA,01830,42.81436,-71.102558,10 Primrose Way,Unit 4206,Haverhill,MA,01830,POINT (-70.970827 42.635475),POINT (-71.102558 42.8143600),22 Veronica Lane,,Weymouth,MA,02189,83-2454860,MRN282474,Wed Feb 05 2020 17:43:53 GMT-0500 (Eastern Standard Time),Fri Oct 18 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Mar 06 2020 14:02:54 GMT-0500 (Eastern Standard Time),False,,,,,,,,,Woman-Owned Business,,,Thu Jan 14 2021 03:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 07 2019 15:06:43 GMT-0500 (Eastern Standard Time),Fri Jan 03 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 05 2020 12:18:32 GMT-0500 (Eastern Standard Time),Thu Feb 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Wed Mar 06 2024 03:00:00 GMT-0500 (Eastern Standard Time),101 Plaistow Rd,N/A,Essex County,300,10000,01830,Haverhill,Essex,42.635475,-70.970827,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Priority Review - Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR281759,"Major Bloom, LLC",Attleboro,MA,02703,41.934519,-71.291312,20 John Williams Street,,Attleboro,MA,02703,POINT (-71.102131 41.778329),POINT (-71.291312 41.9345190),50 Loring St.,,Hyde Park,MA,02136,82-5007405,MRN281759,Fri Mar 20 2020 14:13:54 GMT-0400 (Eastern Daylight Time),Fri May 24 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Mar 15 2022 23:12:50 GMT-0400 (Eastern Daylight Time),True,,,APPROVED,EE202093,EE202093,,,,Not a DBE,,,,Mon Jul 30 2018 13:21:30 GMT-0400 (Eastern Daylight Time),Mon Mar 23 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:28:56 GMT-0400 (Eastern Daylight Time),Tue Mar 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Aug 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),20 John Williams St,N/A,Bristol County,300,5000,02703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,Expedited Review - Two or More,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283581,Bred Genetics Inc,Colrain,MA,01340,42.649481,-72.674905,63 Pond St,Unit 9,Sharon,MA,02067,POINT (-72.573941 42.587072),POINT (-72.674904 42.6494810),63 Pond St,Unit 9,Sharon,MA,02067,88-3735968,MCN283581,Mon Apr 10 2023 11:11:38 GMT-0400 (Eastern Daylight Time),Tue May 10 2022 10:39:06 GMT-0400 (Eastern Daylight Time),,False,yes,SE305504,,,,,,,Not a DBE,Outdoor,"Tier 05: 30,001 to 40,000 sq. ft",,Fri Aug 27 2021 14:29:55 GMT-0400 (Eastern Daylight Time),Fri May 05 2023 09:34:18 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 11:05:51 GMT-0400 (Eastern Daylight Time),Thu Jul 06 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jul 06 2024 04:00:00 GMT-0400 (Eastern Daylight Time),270 Greenfield Rd,N/A,Franklin County,,5625,01340,Colrain,Franklin,42.587072,-72.573941,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103026,"BLAZR, INC",N/A,,N/A,,,1 Dunford Street,,Boston,MA,02119,,,1 Dunford Street,,Boston,MA,02119,00-1439324,PDOA103026,Mon Sep 14 2020 09:01:02 GMT-0400 (Eastern Daylight Time),Fri Aug 14 2020 11:37:06 GMT-0400 (Eastern Daylight Time),,False,,SE304937,,,,,,,Minority-Owned Business,,,,Thu May 28 2020 18:29:19 GMT-0400 (Eastern Daylight Time),Fri Sep 18 2020 08:01:10 GMT-0400 (Eastern Daylight Time),Mon Sep 21 2020 13:12:10 GMT-0400 (Eastern Daylight Time),Mon Sep 21 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Sep 21 2022 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR282541,"Tempest, Inc",Templeton,MA,01438,42.573438,-72.019837,248 Gardner Road,,Templeton,MA,01438,POINT (-71.840209 42.329642),POINT (-72.019836 42.5734380),130 South Royalston Road,,Royalston,MA,01368,32-0602630,MRN282541,Wed Nov 27 2019 11:29:23 GMT-0500 (Eastern Standard Time),Tue Oct 22 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,False,,,,,,,,,Not a DBE,,,,Fri Mar 29 2019 18:48:32 GMT-0400 (Eastern Daylight Time),Mon Dec 16 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 05 2020 12:24:45 GMT-0500 (Eastern Standard Time),Thu Jan 20 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 22 2023 03:00:00 GMT-0500 (Eastern Standard Time),248 Gardner Rd,N/A,Worcester County,,5000,01438,East Templeton,Worcester,42.329642,-71.840209,,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,3/29/2021,COMPLETE,MR281363,Mass Wellspring LLC,Maynard,MA,01754,42.432368,-71.454108,18 Powdermill Rd,,Acton,MA,01720,POINT (-71.275566 42.459085),POINT (-71.454108 42.4323679),18 Powdermill Rd,,Acton,MA,01720,47-4345859,MRN281363,Fri Jun 12 2020 14:01:10 GMT-0400 (Eastern Daylight Time),Fri Feb 28 2020 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,APPROVED,RP201837,RP201837,Not a DBE,,,Thu Mar 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Tue May 01 2018 15:31:58 GMT-0400 (Eastern Daylight Time),Mon Jun 29 2020 10:08:27 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:17:30 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 15 2023 04:00:00 GMT-0400 (Eastern Daylight Time),6 Nason St,N/A,Middlesex County,300,10000,01754,Maynard,Middlesex,42.459085,-71.275566,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,7/24/2020,COMPLETE,MR282801,"Fidelity Wellness Center, Inc.",Rockland,MA,02370,42.160913,-70.910636,38 Church Street,,Winchester,MA,01890,POINT (-70.818958 41.978877),POINT (-70.910635 42.1609130),38 Church Street,,Winchester,MA,01890,82-5058119,MRN282801,Mon Sep 23 2019 22:34:48 GMT-0400 (Eastern Daylight Time),Thu Sep 05 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Mar 17 2020 10:31:21 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201987,RP201987,Not a DBE,,,Thu Jul 09 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Jun 21 2019 10:35:32 GMT-0400 (Eastern Daylight Time),Mon Oct 07 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 16 2020 15:34:31 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Mar 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),256 Weymouth St,N/A,Plymouth County,300,10000,02370,Rockland,Plymouth,41.978877,-70.818958,Southeast and Cape,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Product Manufacturer,General Applicant,COMMENCE OPS,COMMENCE OPS,6/1/2021,COMPLETE,MP281412,Cloud Creamery LLC,Framingham,MA,01702,42.269354,-71.414867,119 Herbert St,,Framingham,MA,01702,POINT (-71.275566 42.459085),POINT (-71.414867 42.269354),15 Irene Rd,,Framingham,MA,01701,82-5241882,MPN281412,Mon Jun 01 2020 17:06:07 GMT-0400 (Eastern Daylight Time),Fri Feb 14 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Aug 20 2020 14:59:43 GMT-0400 (Eastern Daylight Time),False,,,,,,,,,Not a DBE,,,Thu Mar 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Wed Jun 20 2018 18:36:03 GMT-0400 (Eastern Daylight Time),Fri Jun 12 2020 08:42:44 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 13:52:33 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 18 2023 04:00:00 GMT-0400 (Eastern Daylight Time),119 Herbert St,N/A,Middlesex County,300,10000,01702,Framingham,Middlesex,42.459085,-71.275566,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Product Manufacturer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281852,Sparkboro Corp.,Egremont,MA,01258,42.185098,-73.416677,17 Sky Farm Road,,Egremont,MA,01258,POINT (-73.209889 42.396128),POINT (-73.416677 42.1850980),180 Elm Street Suite I#340,,Pittsfield,MA,01201,84-2817307,MPN281852,Tue Aug 04 2020 13:33:59 GMT-0400 (Eastern Daylight Time),Wed Jul 08 2020 11:11:32 GMT-0400 (Eastern Daylight Time),Fri Nov 20 2020 15:40:25 GMT-0500 (Eastern Standard Time),False,,,,,,,,,Minority-Owned Business,,,,Thu Mar 05 2020 14:53:08 GMT-0500 (Eastern Standard Time),Thu Aug 06 2020 11:48:40 GMT-0400 (Eastern Daylight Time),Thu Nov 19 2020 16:24:20 GMT-0500 (Eastern Standard Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jul 13 2024 04:00:00 GMT-0400 (Eastern Daylight Time),120 Egremont Plain Rd,N/A,Berkshire County,1500,10000,01258,South Egremont,Berkshire,42.396128,-73.209889,,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284177,"Natural Agricultural Products, LLC",Abington,MA,02351,42.14417,-70.951724,4 Main Street,,Brockton,MA,02301,POINT (-70.818958 41.978877),POINT (-70.951723 42.1441700),4 Main Street,,Brockton,MA,02301,82-4298481,MRN284177,Thu Jul 28 2022 08:54:56 GMT-0400 (Eastern Daylight Time),Thu Jan 13 2022 09:51:23 GMT-0500 (Eastern Standard Time),,False,no,,,,,,,,Not a DBE,,,,Sun Mar 21 2021 13:37:50 GMT-0400 (Eastern Daylight Time),Mon Aug 08 2022 10:18:30 GMT-0400 (Eastern Daylight Time),Thu Nov 10 2022 12:42:53 GMT-0500 (Eastern Standard Time),Wed Dec 28 2022 03:00:00 GMT-0500 (Eastern Standard Time),Thu Dec 28 2023 03:00:00 GMT-0500 (Eastern Standard Time),1437 Bedford St,N/A,Plymouth County,1500,10000,02351,Abington,Plymouth,41.978877,-70.818958,Southeast and Cape,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC282282,Hennep Cultivation LLC,Franklin,MA,02038,42.070007,-71.421703,160 Grove Street,,Franklin,MA,02038,POINT (-71.15444 42.199156),POINT (-71.421702 42.0700069),1330 Boylston St,Unit 202,Boston,MA,02215,83-4199895,MCN282282,Mon Mar 09 2020 14:48:19 GMT-0400 (Eastern Daylight Time),Sat Feb 22 2020 00:00:00 GMT-0500 (Eastern Standard Time),Wed Jun 10 2020 14:23:34 GMT-0400 (Eastern Daylight Time),False,,,,,,,,,Not a DBE,Indoor,"Tier 06: 40,001 to 50,000 sq. ft",,Thu Jul 18 2019 11:54:31 GMT-0400 (Eastern Daylight Time),Fri Mar 27 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:16:32 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jul 15 2023 04:00:00 GMT-0400 (Eastern Daylight Time),160 Grove St,N/A,Norfolk County,600,25000,02038,Franklin,Norfolk,42.199156,-71.15444,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284839,GVLP Corporation,Chelsea,MA,02150,42.404771,-71.029609,320 Revere Beach Parkway,,Chelsea,MA,02150,POINT (-71.073493 42.334948),POINT (-71.029608 42.4047709),311 Dale Street,,North Andover,MA,01845,87-3577419,MRN284839,Fri Mar 03 2023 07:35:08 GMT-0500 (Eastern Standard Time),Mon Jan 30 2023 16:30:44 GMT-0500 (Eastern Standard Time),Mon Jun 19 2023 11:41:05 GMT-0400 (Eastern Daylight Time),False,no,,,,,,,,Not a DBE,,,,Fri Dec 16 2022 13:22:24 GMT-0500 (Eastern Standard Time),Fri Mar 03 2023 10:47:30 GMT-0500 (Eastern Standard Time),Thu May 11 2023 14:18:01 GMT-0400 (Eastern Daylight Time),Mon Jun 19 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),320 Revere Beach Pkwy,N/A,Suffolk County,1500,10000,02150,Chelsea,Suffolk,42.334948,-71.073493,Metro Boston,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284185,Forest Wilde LLC,Lee,MA,01238,42.326515,-73.262463,75 Chestnut Street,,Lee,MA,01238,POINT (-73.209889 42.396128),POINT (-73.262462 42.3265150),75 Chestnut Street,,Lee,MA,01238,84-3709838,MRN284185,Sat Jul 10 2021 15:51:07 GMT-0400 (Eastern Daylight Time),Mon May 10 2021 13:09:15 GMT-0400 (Eastern Daylight Time),Mon Jul 25 2022 21:32:27 GMT-0400 (Eastern Daylight Time),False,no,,,,,,,,Woman-Owned Business,,,,Tue Mar 23 2021 12:43:00 GMT-0400 (Eastern Daylight Time),Fri Jul 16 2021 09:04:49 GMT-0400 (Eastern Daylight Time),Thu Oct 14 2021 13:09:20 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 25 2024 04:00:00 GMT-0400 (Eastern Daylight Time),635 Laurel St,N/A,Berkshire County,1500,10000,01238,Lee,Berkshire,42.396128,-73.209889,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Courier Pre-Certification,Priority Review - Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103444,Alchemy League,N/A,,N/A,,,"12 Marcella St, Boston, MA",,Type,MA,02119,,,"12 Marcella St, Boston, MA",,Roxbury,MA,02119,82-4415549,PDOA103444,Wed Jun 30 2021 09:46:08 GMT-0400 (Eastern Daylight Time),Wed Jun 23 2021 13:06:13 GMT-0400 (Eastern Daylight Time),,True,,EE201940,APPROVED,EE201940,,,,,"Minority-Owned Business | Woman-Owned Business | Veteran-Owned Business | Lesbian, Gay, Bisexual, and Transgender Owned Business",,,,Mon Feb 01 2021 10:57:52 GMT-0500 (Eastern Standard Time),Mon Jul 12 2021 11:54:07 GMT-0400 (Eastern Daylight Time),Mon Jul 12 2021 11:54:16 GMT-0400 (Eastern Daylight Time),Mon Jul 12 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,8/31/2020,COMPLETE,MC281288,"Mission MA, Inc.",Worcester,MA,01605,42.299151,-71.764896,640 Lincoln St.,,Worcester,MA,01605,POINT (-71.840209 42.329642),POINT (-71.764895 42.2991510),5060 N. 40th Street,Suite 120,Phoenix,AZ,85018,47-3906035,MCN281288,Thu Feb 07 2019 08:57:20 GMT-0500 (Eastern Standard Time),Fri Dec 07 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Jun 20 2019 16:18:11 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201863,RP201863,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",Thu Aug 06 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Apr 23 2018 10:51:12 GMT-0400 (Eastern Daylight Time),Thu Feb 14 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu May 16 2019 13:32:42 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Dec 19 2023 03:00:00 GMT-0500 (Eastern Standard Time),640 Lincoln St,Suite 200,Worcester County,200,1250,01605,Worcester,Worcester,42.329642,-71.840209,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,1/7/2019,COMPLETE,MR281549,Theory Wellness Inc,Great Barrington,MA,01230,42.211122,-73.344768,394 Stockbridge Rd,,Great Barrington,MA,01230,POINT (-73.209889 42.396128),POINT (-73.344768 42.2111220),38 Montvale Ave,STE 210,Stoneham,MA,02180,47-5615911,MRN281549,Sat Aug 04 2018 12:08:11 GMT-0400 (Eastern Daylight Time),Tue Jul 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 18 2018 17:33:03 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201916,RPA201916,Not a DBE,,,Thu Dec 13 2018 03:00:00 GMT-0500 (Eastern Standard Time),Tue Jun 05 2018 08:19:38 GMT-0400 (Eastern Daylight Time),Mon Aug 13 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 18 2018 14:42:42 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Oct 23 2023 04:00:00 GMT-0400 (Eastern Daylight Time),394 Stockbridge Rd,N/A,Berkshire County,300,5000,01230,Great Barrington,Berkshire,42.396128,-73.209889,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC281430,Royalston Farm LLC,Royalston,MA,01368,42.658288,-72.158487,130 South Royalston Road,,Royalston,MA,01368,POINT (-71.840209 42.329642),POINT (-72.158486 42.6582879),160 South Royalston Road,,Royalston,MA,01368,83-2206361,MCN281430,Fri Jan 03 2020 11:49:28 GMT-0500 (Eastern Standard Time),Thu Sep 12 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Feb 10 2020 19:56:32 GMT-0500 (Eastern Standard Time),False,,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Sat May 12 2018 15:59:30 GMT-0400 (Eastern Daylight Time),Fri Nov 01 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 16 2020 15:40:09 GMT-0500 (Eastern Standard Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jun 08 2024 04:00:00 GMT-0400 (Eastern Daylight Time),130 S Royalston Rd,N/A,Worcester County,400,1250,01368,Royalston,Worcester,42.329642,-71.840209,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,12/9/2020,COMPLETE,MR281844,CTDW LLC,Salem,MA,01970,42.518747,-70.893879,11 Larchmont Street,,Salem,MA,01970,POINT (-70.970827 42.635475),POINT (-70.893878 42.5187469),11 Larchmont Street,,Salem,MA,01970,83-1824620,MRN281844,Mon Oct 07 2019 11:02:02 GMT-0400 (Eastern Daylight Time),Mon Aug 26 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,False,,,,,,,,,Not a DBE,,,Thu Nov 19 2020 03:00:00 GMT-0500 (Eastern Standard Time),Wed Aug 29 2018 13:53:08 GMT-0400 (Eastern Daylight Time),Fri Nov 01 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 16 2020 15:31:08 GMT-0500 (Eastern Standard Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),3 Dodge St,N/A,Essex County,300,10000,01970,Salem,Essex,42.635475,-70.970827,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
