business_dba_name,premise_city,premise_county,premise_street_address,premise_zip_code,licensing_authority_id,licensing_authority,license_status,license_designation,premise_state,business_image_url,license_status_date,license_term,issue_date,expiration_date,business_email,business_owner_name,business_structure,business_website,activity,business_phone,parcel_number,business_legal_name,data_refreshed_date,license_number,license_type,id,premise_latitude,premise_longitude
La Mota Roseburg 2 Llc,Roseburg,Douglas,573 Ne Stephen'S St,97478,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA ROSEBURG 2 LLC,2023-05-02T00:00:00,050 101068041F4,Recreational Retailer,050 101068041F4,43.216505,-123.3417381
Redbarn Dispensary,Roseburg,Douglas,634 W Umpqua St,97471,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,REDBARN DISPENSARY,2023-05-02T00:00:00,050 1011388D21A,Recreational Retailer,050 1011388D21A,43.2133404,-123.359493
Redbarn Dispensary,Roseburg,Douglas,1810 Ne Stephens St.,97470,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,REDBARN DISPENSARY,2023-05-02T00:00:00,050 1011388D21A,Recreational Retailer,050 1011388D21A,43.2316587,-123.3512389
Smiles,Roseburg,Douglas,655 Ne Chestnut Ave,97470,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,SMILES,2023-05-02T00:00:00,050 101648406F4,Recreational Retailer,050 101648406F4,43.2228712,-123.3470285
Green Knottz Chiloquin,Chiloquin,Error,131 S 1St Ave.,97624,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GREEN KNOTTZ CHILOQUIN,2023-05-02T00:00:00,,,,42.5756704,-121.8631055
Rocky Mtn Dispensary,John Day,Error,743 W Main Street,97845,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,ROCKY MTN DISPENSARY,2023-05-02T00:00:00,,,,44.4197789,-118.9655295
M Thrive Organics Llc,Joseph,Error,600 N Main Street,97846,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,M THRIVE ORGANICS LLC,2023-05-02T00:00:00,,,,45.3574062,-117.2294915
A Better Way Cannabis,Klamath Falls,Error,3255 Washburn Way #4,97603,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,A BETTER WAY CANNABIS,2023-05-02T00:00:00,,,,42.1985198,-121.7566975
Emerald Triangle Dispensary,Klamath Falls,Error,2226 Washburn Way,97603,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,EMERALD TRIANGLE DISPENSARY,2023-05-02T00:00:00,,,,42.2070733,-121.7580508
Emerald Triangle Dispensary,Klamath Falls,Error,3480 Washburn Way Suite D,97603,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,EMERALD TRIANGLE DISPENSARY,2023-05-02T00:00:00,,,,42.1945889,-121.7579249
Green Knottz Kfalls,Klamath Falls,Error,2437 S 6Th St.,97601,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GREEN KNOTTZ KFALLS,2023-05-02T00:00:00,,,,42.2123704,-121.7586891
High Lakes,Klamath Falls,Error,3945 N Highway 97,97601,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,HIGH LAKES,2023-05-02T00:00:00,,,,42.2568863,-121.7995576
High Lakes Cannabis Co,Klamath Falls,Error,2820 Maywood Dr,97601,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,HIGH LAKES CANNABIS CO,2023-05-02T00:00:00,,,,42.201343,-121.7595261
Klamath Falls Cannabis,Klamath Falls,Error,"2972 South 6Th Street Suites A,B,C & D",97603,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,KLAMATH FALLS CANNABIS,2023-05-02T00:00:00,,,,42.2088389,-121.7532994
Burnt River Farms,Ontario,Error,1055 Nw Washington Ave.,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,BURNT RIVER FARMS,2023-05-02T00:00:00,,,,44.0460511,-116.9820233
Cannabis & Glass,Ontario,Error,182 East Lane,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CANNABIS & GLASS,2023-05-02T00:00:00,,,,44.0228562,-116.9398821
Elevation 2150,Ontario,Error,2876 Sw 4Th Ave Suite 1,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,ELEVATION 2150,2023-05-02T00:00:00,,,,44.02446370000001,-117.0034558
High Supply,Ontario,Error,482 Ne 3Rd St,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,HIGH SUPPLY,2023-05-02T00:00:00,,,,44.0298341,-116.9557853
Hotbox Farms,Ontario,Error,325 Ne Goodfellow Street,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,HOTBOX FARMS,2023-05-02T00:00:00,,,,44.0277343,-116.943844
"Nectar Markets, Llc",Ontario,Error,1200 Se 1St Street,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,"NECTAR MARKETS, LLC",2023-05-02T00:00:00,,,,44.01470279999999,-116.9625681
The Bud House,Ontario,Error,115 Ne 2Nd St,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE BUD HOUSE,2023-05-02T00:00:00,,,,44.0270326,-116.9586738
The Red Eye,Ontario,Error,833 Sw 30Th St,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE RED EYE,2023-05-02T00:00:00,,,,44.020763,-117.006755
Top Crop Cannabis,Ontario,Error,297 Se 10Th Street,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,TOP CROP CANNABIS,2023-05-02T00:00:00,,,,44.0226066,-116.9507594
Treasure Valley Cannabis Company,Ontario,Error,560 Se 12Th Avenue,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,TREASURE VALLEY CANNABIS COMPANY,2023-05-02T00:00:00,,,,44.0143558,-116.9567005
Weedology,Ontario,Error,591 East Idaho,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,WEEDOLOGY,2023-05-02T00:00:00,,,,44.02539580000001,-116.9541797
Zion,Ontario,Error,340 Se 13Th St,97914,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,ZION,2023-05-02T00:00:00,,,,44.023035,-116.945229
Blazen Cannabis,Hines,Harney,800 Highway 20 S,97738,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,BLAZEN CANNABIS,2023-05-02T00:00:00,050 10097447A5F,Recreational Retailer,050 10097447A5F,43.546123,-119.085174
Tumbleweed Cannabis Co. Llc,Hines,Harney,310 North Highway 20,97738,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,TUMBLEWEED CANNABIS CO. LLC,2023-05-02T00:00:00,050 10051014E88,Recreational Retailer,050 10051014E88,43.5670543,-119.0795085
Evergreen Hood River,Hood River,Hood River,1408 13Th St,97031,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,EVERGREEN HOOD RIVER,2023-05-02T00:00:00,050 1000459CA6F,Recreational Retailer,050 1000459CA6F,45.6999353,-121.5249419
Farm Grass Table,Hood River,Hood River,4140 Westcliff Drive,97031,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,FARM GRASS TABLE,2023-05-02T00:00:00,050 1004661768A,Recreational Retailer,050 1004661768A,45.7100732,-121.5581082
Frontier Farms - Hood River,Hood River,Hood River,602 Oak St.,97031,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,FRONTIER FARMS - HOOD RIVER,2023-05-02T00:00:00,050 1013873660A,Recreational Retailer,050 1013873660A,45.7090358,-121.5165836
Gorge Greenery,Hood River,Hood River,13 Oak Street,97031,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GORGE GREENERY ,2023-05-02T00:00:00,050 1000163439B,Recreational Retailer,050 1000163439B,45.7085765,-121.5110042
High Winds,Hood River,Hood River,1817 Cascade Ave,97031,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HIGH WINDS,2023-05-02T00:00:00,050 1000085D89E,Recreational Retailer,050 1000085D89E,45.7093121,-121.5309722
Hood River Naturals,Hood River,Hood River,1020 Wasco Suite K,97031,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HOOD RIVER NATURALS,2023-05-02T00:00:00,050 100041086CC,Recreational Retailer,050 100041086CC,45.711792,-121.522689
Breeze Botanicals Ashland,Ashland,Jackson,1526 Siskiyou Blvd,97520,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,BREEZE BOTANICALS ASHLAND,2023-05-02T00:00:00,050 10001271938,Recreational Retailer,050 10001271938,42.183626,-122.6886811
Kaleafa,Ashland,Jackson,"1253 Siskiyou Blvd., Ste. C",97520,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,KALEAFA,2023-05-02T00:00:00,050 10075721DCC,Recreational Retailer,050 10075721DCC,42.1866317,-122.6935403
Kingston Cannabis Company,Ashland,Jackson,2366 Ashland Street,97520,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,KINGSTON CANNABIS COMPANY,2023-05-02T00:00:00,050 1022344EC85,Recreational Retailer,050 1022344EC85,42.1850405,-122.6683069
Madrone Cannabis Club,Ashland,Jackson,481 Applegate Way,97520,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MADRONE CANNABIS CLUB,2023-05-02T00:00:00,050 1000200318F,Recreational Retailer,050 1000200318F,42.1843934,-122.6553961
Nectar,Ashland,Jackson,488 N Main St,97520,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,NECTAR,2023-05-02T00:00:00,050 101676773B7,Recreational Retailer,050 101676773B7,42.2052216,-122.7200206
Rogue Valley Cannabis - Ashland,Ashland,Jackson,505 Siskiyou Blvd,97520,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,ROGUE VALLEY CANNABIS - ASHLAND,2023-05-02T00:00:00,050 101344798CE,Recreational Retailer,050 101344798CE,42.1937337,-122.7078138
Rogue Valley Cannabis,Central Point,Jackson,6388 Crater Lake,97502,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,ROGUE VALLEY CANNABIS,2023-05-02T00:00:00,050 10051449C85,Recreational Retailer,050 10051449C85,42.4090821,-122.8552949
Breeze Botanicals Gold Hill,Gold Hill,Jackson,315 2Nd Ave,97525,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,BREEZE BOTANICALS GOLD HILL,2023-05-02T00:00:00,050 1000100101A,Recreational Retailer,050 1000100101A,42.4313879,-123.0472997
Skunkrx,Grants Pass,Jackson,8979 Rogue River Hwy,97527,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,SKUNKRX,2023-05-02T00:00:00,050 10050652956,Recreational Retailer,050 10050652956,42.4301113,-123.1722316
Abccoop1,Medford,Jackson,633 Market Street Ste 100,97504,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,ABCCOOP1,2023-05-02T00:00:00,050 1017716E529,Recreational Retailer,050 1017716E529,42.3379653,-122.8698614
American Cannabis Company,Medford,Jackson,2131 W Main Suite A,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,AMERICAN CANNABIS COMPANY,2023-05-02T00:00:00,050 100516768FC,Recreational Retailer,050 100516768FC,42.3232775,-122.8963318
Budγçös,Medford,Jackson,101 S Riverside Avenue,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,BUDΓÇÖS,2023-05-02T00:00:00,050 10126938755,Recreational Retailer,050 10126938755,42.3265473,-122.8695874
C&C Farms Rec Shop,Medford,Jackson,2390 W Main St Suite D,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,C&C FARMS REC SHOP,2023-05-02T00:00:00,050 10051948111,Recreational Retailer,050 10051948111,42.3249191,-122.9016035
Cannabis Liquidation Outlet,Medford,Jackson,924 S Central Ave Unit 3,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CANNABIS LIQUIDATION OUTLET,2023-05-02T00:00:00,050 10188845BB4,Recreational Retailer,050 10188845BB4,42.3177393,-122.8651106
"Cannabiz Experience, Llc",Medford,Jackson,333 N. Riverside,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,"CANNABIZ EXPERIENCE, LLC",2023-05-02T00:00:00,050 100485158FE,Recreational Retailer,050 100485158FE,42.3307888,-122.8729415
Cloud 9 Wellness,Medford,Jackson,2560-C Crater Lake Hwy,97504,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,CLOUD 9 WELLNESS,2023-05-02T00:00:00,050 10061095779,Recreational Retailer,050 10061095779,42.3548509,-122.8680602
Crater Cannabis,Medford,Jackson,1180 Crater Lake Avenue,97504,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CRATER CANNABIS,2023-05-02T00:00:00,050 101894058F6,Recreational Retailer,050 101894058F6,42.3404923,-122.8603432
Eleven Names,Medford,Jackson,853 South Riverside Ave #C,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,ELEVEN NAMES,2023-05-02T00:00:00,050 101614187E6,Recreational Retailer,050 101614187E6,42.31961210000001,-122.8627279
Emerald Triangle Dispensary,Medford,Jackson,246 East 10Th Street,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,EMERALD TRIANGLE DISPENSARY,2023-05-02T00:00:00,050 10050834F0C,Recreational Retailer,050 10050834F0C,42.32417,-122.869006
Emerald Triangle Dispensary,Medford,Jackson,1818 Mcandrews,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,EMERALD TRIANGLE DISPENSARY,2023-05-02T00:00:00,050 10050834F0C,Recreational Retailer,050 10050834F0C,42.3413117,-122.8584676
Emerald Triangle Dispensary,Medford,Jackson,5022 Table Rock Rd Suite A,97502,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,EMERALD TRIANGLE DISPENSARY,2023-05-02T00:00:00,050 10050834F0C,Recreational Retailer,050 10050834F0C,42.39018,-122.8849723
Emerald Triangle Dispensary,Medford,Jackson,335 East Mcandrews Road,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,EMERALD TRIANGLE DISPENSARY,2023-05-02T00:00:00,050 10050834F0C,Recreational Retailer,050 10050834F0C,42.3413546,-122.8793057
Fireside Dispensary,Medford,Jackson,4149 S Pacific Hwy Unit A,97535,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,FIRESIDE DISPENSARY,2023-05-02T00:00:00,050 10026282919,Recreational Retailer,050 10026282919,42.280344,-122.822153
Ground Up Farms,Medford,Jackson,429 S Central Avenue,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GROUND UP FARMS,2023-05-02T00:00:00,050 10060288656,Recreational Retailer,050 10060288656,42.3229195,-122.8685075
Hijinx Cannabis Co,Medford,Jackson,3943 S. Pacific Highway,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HIJINX CANNABIS CO,2023-05-02T00:00:00,050 10032676561,Recreational Retailer,050 10032676561,42.2830664,-122.8263495
Kanopy 7,Medford,Jackson,1252 W Mcandrews Road Unit 2,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,KANOPY 7,2023-05-02T00:00:00,050 1009362B0FF,Recreational Retailer,050 1009362B0FF,42.3277468,-122.8986582
La Mota,Medford,Jackson,1945 W Main St,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA,2023-05-02T00:00:00,050 100136209F4,Recreational Retailer,050 100136209F4,42.3234935,-122.8942494
La Mota,Medford,Jackson,1258 S Riverside Avenue,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA,2023-05-02T00:00:00,050 100136209F4,Recreational Retailer,050 100136209F4,42.31317800000001,-122.8612021
La Mota,Medford,Jackson,924 S Central Ave Unit 2,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA,2023-05-02T00:00:00,050 100136209F4,Recreational Retailer,050 100136209F4,42.3177393,-122.8651106
La Mota,Medford,Jackson,17 S Riverside Ave,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA ,2023-05-02T00:00:00,050 100136209F4,Recreational Retailer,050 100136209F4,42.32712960000001,-122.8701435
La Mota,Medford,Jackson,620 W Stewart Ave,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,LA MOTA ,2023-05-02T00:00:00,050 100136209F4,Recreational Retailer,050 100136209F4,42.3132135,-122.8770272
La Mota Court Llc,Medford,Jackson,1037 Court St,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA COURT LLC,2023-05-02T00:00:00,050 10112894E36,Recreational Retailer,050 10112894E36,42.3366943,-122.8806201
La Mota Medford 3,Medford,Jackson,3460 N Pacific Hwy,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA MEDFORD 3 ,2023-05-02T00:00:00,050 1010491A550,Recreational Retailer,050 1010491A550,42.3581434,-122.9030824
Mother Earth Medicines,Medford,Jackson,36 S. Riverside Avenue,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MOTHER EARTH MEDICINES,2023-05-02T00:00:00,050 10088018221,Recreational Retailer,050 10088018221,42.3265581,-122.8702591
Mr. Nice Guy Retail,Medford,Jackson,609 E. Jackson Street,97504,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,MR. NICE GUY RETAIL,2023-05-02T00:00:00,050 10116382457,Recreational Retailer,050 10116382457,42.3315347,-122.8670099
Nectar,Medford,Jackson,259 E Barnett Rd Ste 2,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,NECTAR,2023-05-02T00:00:00,050 101676773B7,Recreational Retailer,050 101676773B7,42.31772660000001,-122.8590636
Nectar,Medford,Jackson,259 E Barnett Rd Suite 1,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,NECTAR,2023-05-02T00:00:00,050 101676773B7,Recreational Retailer,050 101676773B7,42.3178029,-122.8590686
Ocean Grown Cannabis Company,Medford,Jackson,1597 E Vilas Road East,97502,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,OCEAN GROWN CANNABIS COMPANY,2023-05-02T00:00:00,050 10121913172,Recreational Retailer,050 10121913172,42.3896095,-122.853955
Oregon Farmacy,Medford,Jackson,1 West 6Th Street Suite 104,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,OREGON FARMACY,2023-05-02T00:00:00,050 100069626B0,Recreational Retailer,050 100069626B0,42.3263106,-122.8743599
Oregon Grown Cannabis Recreational Dispensary,Medford,Jackson,1201 W. Stewart Ave,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,OREGON GROWN CANNABIS RECREATIONAL DISPENSARY,2023-05-02T00:00:00,050 1005779006B,Recreational Retailer,050 1005779006B,42.3125173,-122.8886181
Pharm To Table,Medford,Jackson,3528 S. Pacific Highway,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,PHARM TO TABLE,2023-05-02T00:00:00,050 100480492FF,Recreational Retailer,050 100480492FF,42.2875406,-122.8339516
Pharm To Table,Medford,Jackson,3434 North Pacific Highway,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,PHARM TO TABLE,2023-05-02T00:00:00,050 100480492FF,Recreational Retailer,050 100480492FF,42.35765139999999,-122.9027132
Rogue Valley Cannabis - West Main,Medford,Jackson,2060 West Main St,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,ROGUE VALLEY CANNABIS - WEST MAIN,2023-05-02T00:00:00,050 1008483E7CB,Recreational Retailer,050 1008483E7CB,42.3240913,-122.8954968
Sensible Cannabis Company,Medford,Jackson,3338 N Pacific Hwy,97504,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,SENSIBLE CANNABIS COMPANY,2023-05-02T00:00:00,050 101133291FA,Recreational Retailer,050 101133291FA,42.35583250000001,-122.9010192
Southern Oregon Cannabis Connection,Medford,Jackson,603 S. Riverside Ave.,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,SOUTHERN OREGON CANNABIS CONNECTION,2023-05-02T00:00:00,050 1014846FBEA,Recreational Retailer,050 1014846FBEA,42.3217597,-122.8663722
Substance,Medford,Jackson,1749 E Mcandrews Rd,97504,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,SUBSTANCE,2023-05-02T00:00:00,050 10170556BAB,Recreational Retailer,050 10170556BAB,42.3411212,-122.8595798
Substance,Medford,Jackson,3425 Crater Lake Hwy,97504,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,SUBSTANCE,2023-05-02T00:00:00,050 10170556BAB,Recreational Retailer,050 10170556BAB,42.3641505,-122.8566048
The Herbsman,Medford,Jackson,1244 S. Riverside Ave,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE HERBSMAN,2023-05-02T00:00:00,050 10211129638,Recreational Retailer,050 10211129638,42.3139303,-122.861714
The Spot Cannabis Collective,Medford,Jackson,2590 Crater Lake Highway,97504,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE SPOT CANNABIS COLLECTIVE,2023-05-02T00:00:00,050 1010254919C,Recreational Retailer,050 1010254919C,42.3553852,-122.8670178
The Spot Cannabis Collective,Medford,Jackson,"1345 Center Dr., Suite D",97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE SPOT CANNABIS COLLECTIVE,2023-05-02T00:00:00,050 1010254919C,Recreational Retailer,050 1010254919C,42.3115882,-122.8539988
Top Shelf Wellness Center,Medford,Jackson,1925 Elm Ave,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,TOP SHELF WELLNESS CENTER,2023-05-02T00:00:00,050 1012246E7D7,Recreational Retailer,050 1012246E7D7,42.3466946,-122.8859672
Weedbucks,Medford,Jackson,437 S. Central Avenue,97501,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,WEEDBUCKS,2023-05-02T00:00:00,050 1005582DBA5,Recreational Retailer,050 1005582DBA5,42.3228014,-122.8683927
La Mota,Oakridge,Jackson,48257 E. 1St St.,97463,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA ,2023-05-02T00:00:00,050 100136209F4,Recreational Retailer,050 100136209F4,43.7480678,-122.4594731
Top Shelf Wellness Center,Phoenix,Jackson,205 N Phoenix Rd Suite #C,97535,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,TOP SHELF WELLNESS CENTER,2023-05-02T00:00:00,050 1012246E7D7,Recreational Retailer,050 1012246E7D7,42.28186,-122.8180732
Rebirth Portland/Power Plant,Portland,Jackson,10215 Se Foster Road,97266,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,REBIRTH PORTLAND/POWER PLANT,2023-05-02T00:00:00,050 10113069B02,Recreational Retailer,050 10113069B02,45.4771973,-122.5580545
Rogue River Herbal Pmc,Rogue River,Jackson,510 East Main St  Ste C,97537,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,ROGUE RIVER HERBAL PMC,2023-05-02T00:00:00,050 1001576D112,Recreational Retailer,050 1001576D112,42.4323659,-123.1636931
Weedbucks,Rogue River,Jackson,204 Madrone Street,97537,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,WEEDBUCKS,2023-05-02T00:00:00,050 1005582DBA5,Recreational Retailer,050 1005582DBA5,42.43158,-123.1678164
Emerald Triangle Dispensary,Talent,Jackson,"103 N Pacific Hwy Units A, B And C",97540,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,EMERALD TRIANGLE DISPENSARY,2023-05-02T00:00:00,050 10050834F0C,Recreational Retailer,050 10050834F0C,42.2456671,-122.7850824
Grateful Meds,Talent,Jackson,630 Hwy 99,97540,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GRATEFUL MEDS,2023-05-02T00:00:00,050 100534417C0,Recreational Retailer,050 100534417C0,42.240907,-122.7761624
Re-Up,Talent,Jackson,1007 S. Pacific Highway Unit G,97540,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,RE-UP,2023-05-02T00:00:00,050 10172122CAC,Recreational Retailer,050 10172122CAC,42.237715,-122.769459
Top Shelf Wellness Center,White City,Jackson,7162 Crater Lake Hwy,97503,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,TOP SHELF WELLNESS CENTER,2023-05-02T00:00:00,050 1012246E7D7,Recreational Retailer,050 1012246E7D7,42.4207429,-122.8518391
