license_number,business_legal_name,business_type,premise_county,expiration_date,issue_date,business_owner_name,premise_street_address,mailing_street_address,business_phone,business_email,business_structure,business_image_url,business_website,id,premise_state,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,parcel_number,activity,premise_latitude,premise_longitude
DSPY004853,"Greenwise, LLC",Dispensary,Oktibbeha County,,,"Michael Gray, Stephanie Gray","823 HIGHWAY 12 W STARKVILLE, MS 39759","505 COBBLESTONE CT MADISON, MS 39110",(601) 720-7749,stephanie@greenwisems.com,,,,DSPY004853,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.4463743,-88.8422788
DSPY004524,"Greenwise, LLC",Dispensary,Harrison County,,,"Michael Gray, Stephanie Gray","9113 HIGHWAY 49 GULFPORT, MS 39503","505 COBBLESTONE CT MADISON, MS 39110",(601) 720-7749,stephanie@greenwisems.com,,,,DSPY004524,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4155744,-89.0937857
DSPY002461,Happy Leaf LLC,Dispensary,Rankin County,,,"Bryan Minton, Bobby Britton","736 HIGHWAY 49 S RICHLAND, MS 39218","736 HIGHWAY 49 S RICHLAND, MS 39218",(901) 412-9440,afbbritton@yahoo.com,,,,DSPY002461,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.2369543,-90.1637137
DSPY007137,"Hattiesburg Mississippi Dispensary, LLC",Dispensary,Lamar County,,,"Hattiesburg Mississippi Dispensary, LLC","6083 U S HIGHWAY 98 STE 802 HATTIESBURG, MS 39402","425 W CAPITOL AVE STE 1350 LITTLE ROCK, AR 72201",(601) 906-2955,hattiesburgdispensary@gmail.com,,,,DSPY007137,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.3226001,-89.3791024
DSPY015017,"Herbal Alchemy Dispensary, LLC.",Dispensary,DeSoto County,,,"Sarah Kalkstein, Jessica Logan, Marisa Hediger, Theresa Massey, Elizabeth Barnett","3016 HIGHWAY 51 S HERNANDO, MS 38632","3016 HIGHWAY 51 S STE 101 HERNANDO, MS 38632",(256) 221-2387,herbal.alchemy.dispensary@gmail.com,,,,DSPY015017,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.8164044,-89.9932603
DSPY019375,Herbal Hospitality llc,Dispensary,Warren County,,,"David Meltzer, Derrick Perkins","3427 PEMBERTON SQUARE BLVD VICKSBURG, MS 39180","9705 BLACKWOOD CIR APT 202 FORT MYERS, FL 33967",(765) 891-8412,cherrymedia@icloud.com,,,,DSPY019375,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3112798,-90.88284999999999
DSPY017475,"High Bluff Farms, LLC.",Dispensary,Warren County,,,Paul Gorney,"4000 N WASHINGTON ST VICKSBURG, MS 39183","3000 WASHINGTON ST VICKSBURG, MS 39180",(601) 629-7536,pgmgorney@gmail.com,,,,DSPY017475,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.4049923,-90.84771529999999
DSPY003661,"High Cotton Wellness, LLC",Dispensary,Rankin County,,,"Donald Partridge, John Cranmore, Justin Mahfouz, William Martin","422 RIVERWIND DR PEARL, MS 39208","4273 I 55 N STE 1B JACKSON, MS 39206",(601) 987-4910,stan@southernskybrands.com,,,,DSPY003661,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.2665608,-90.1391001
DSPY000941,High Hopes Cannabis LLC,Dispensary,Lee County,,,Jason Truong,"1201 N GLOSTER ST TUPELO, MS 38804","4734 MARKET ST TUPELO, MS 38801",(662) 523-4440,truong_pham@hotmail.com,,,,DSPY000941,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.2800462,-88.71635069999999
DSPY013744,Holistika LLC,Dispensary,Lowndes County,,,Holistika,"2009 MILITARY RD COLUMBUS, MS 39701","94 E BRIAR LAKE DR STARKVILLE, MS 39759",(662) 497-0795,glenn@holistikallc.com,,,,DSPY013744,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.5167125,-88.4163026
DSPY019522,Honest Dispensary LLC #1,Dispensary,Grenada County,,,HONEST BUSINESS GROUP LLC,"1011 LAKEVIEW DR GRENADA, MS 38901","164 ELM ST GRENADA, MS 38901",(662) 809-0113,honestbusinessgroupllc@gmail.com,,,,DSPY019522,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.7709979,-89.79126769999999
DSPY016464,House of Buds,Dispensary,Simpson County,,,"Michael Jones, Justin Jones","521 5TH ST SW MAGEE, MS 39111","521 5TH ST SW MAGEE, MS 39111",(601) 278-0511,Houseofbudsss@gmail.com,,,,DSPY016464,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.8686677,-89.7381058
DSPY007236,Hybrid LLC,Dispensary,Lafayette County,,,Antonio Barragan,"1801 JACKSON AVE W A OXFORD, MS 38655","1801 JACKSON AVE W SUITE D 112 OXFORD, MS 38655",(662) 934-2121,hemphealthms@gmail.com,,,,DSPY007236,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.365159,-89.5542651
DSPY011341,Jamal Saeed,Dispensary,Lee County,,,Jamal Saeed,"608 N GLOSTER ST TUPELO, MS 38804","608 N GLOSTER ST TUPELO, MS 38804",(662) 523-0892,cannabisheadquarter@gmail.com,,,,DSPY011341,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.2653877,-88.71528459999999
DSPY012806,James B. Abraham LLC,Dispensary,Bolivar County,,,James Abraham,"618 GAINES HWY BOYLE, MS 38730","618 GAINES HWY BOYLE, MS 38730",(662) 719-6635,bartabraham@gmail.com,,,,DSPY012806,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.7118651,-90.71763070000002
DSPY006018,"Kelly's Green, Inc.",Dispensary,Forrest County,,,"Kelly Williams, Chad King, Non - Economic Interest Owners, Kelly Williams, LLC, David Fant, LLC","20 RAWLS SPRINGS LOOP RD HATTIESBURG, MS 39402","209 TWELVE OAKS TRCE CANTON, MS 39046",(601) 421-1085,chad@kellysgreen.biz,,,,DSPY006018,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.3602757,-89.3481225
DSPY011138,"Kelly's Green, Inc.",Dispensary,Lauderdale County,,,"Kelly Williams, Chad King, Non-Economic Interest Owners, Kelly Williams, LLC, David Fant, LLC","834 HIGHWAY 19 N MERIDIAN, MS 39307","834 HIGHWAY 19 N MERIDIAN, MS 39307",(601) 421-1085,chad@kellysgreen.biz,,,,DSPY011138,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3657407,-88.7312389
DSPY013261,"Kelly's Green, Inc.",Dispensary,Rankin County,,,"Kelly Williams, Chad King, Puff Puff Give, LLC, Non-Economic Interest Owners, Kelly Williams, LLC, David Fant, LLC","1170 OLD FANNIN RD BRANDON, MS 39047","1170 OLD FANNIN RD BRANDON, MS 39047",(601) 421-1085,chad@kellysgreen.biz,,,,DSPY013261,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3785307,-90.04406639999999
DSPY005938,"Kudzu Cannabis Company, LLC",Dispensary,Lauderdale County,,,Jared Kobs,"93 S FRONTAGE RD MERIDIAN, MS 39301","PO BOX 12009 JACKSON, MS 39236",(601) 414-9333,jared@kudzucc.com,,,,DSPY005938,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3672124,-88.66930789999999
DSPY010425,"Kudzu Cannabis Company, LLC",Dispensary,Hinds County,,,JARED KOBS,"4678 I 55 FRONTAGE RD N JACKSON, MS 39211","4678 I 55 FRONTAGE RD N JACKSON, MS 39211",(601) 414-9333,jared@kudzucc.com,,,,DSPY010425,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.35807510000001,-90.1506782
DSPY008876,"Lake Vista Wellness I, LLC",Dispensary,Bolivar County,,,Jeffrey Kuehr,"641 HIGHWAY 1 S - GREENVILLE, MS 38701","805 LAKE VISTA CIR - VESTAVIA, AL 35242",(205) 219-9010,jeffrey.kuehr@gmail.com,,,,DSPY008876,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.8367372,-91.02384149999999
DSPY006853,"Lake Vista Wellness IV, LLC",Dispensary,Oktibbeha County,,,Jeffrey Kuehr,"605 S JACKSON ST N/A STARKVILLE, MS 39759","805 LAKE VISTA CIR N/A VESTAVIA, AL 35242",(205) 219-9010,jeffrey.kuehr@gmail.com,,,,DSPY006853,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.4552048,-88.8128681
DSPY007875,"LeafMed 2, LLC",Dispensary,Warren County,,,"Shaun Carpenter, Todd Shaffett","2080 S FRONTAGE RD STE 106 VICKSBURG, MS 39180","16065 LAMONTE DR HAMMOND, LA 70403",(844) 456-5383,todd.shaffett@medcentris.com,,,,DSPY007875,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3217901,-90.865875
DSPY007357,"LeafMed 3, LLC",Dispensary,Pike County,,,"Shaun Carpenter, Todd Shaffett","2301 Delaware Ave McComb, MS 39648","16065 Lamonte Dr Hammond, LA 70403",(844) 456-5383,leafmed3@butlersnow.com,,,,DSPY007357,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.248595,-90.48500299999999
DSPY007423,"LeafMed4, LLC",Dispensary,Hancock County,,,"Shaun Carpenter, Todd Shaffett","10209 HIGHWAY 603 BAY ST LOUIS, MS 39520","16065 LAMONTE DR N/A HAMMOND, LA 70403",(844) 456-5383,todd.shaffett@medcentris.com,,,,DSPY007423,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3134758,-89.39943889999999
DSPY000738,"Legally Rooted Cannabis Dispensary, LLC",Dispensary,Lauderdale County,,,"Stacey Williams, Ben Williams, Ashley Toney, Michael Grace","1800 6TH ST MERIDIAN, MS 39301","PO BOX 1533 MERIDIAN, MS 39302",(601) 512-2140,dispensary@legallyrootedcannabis.com,,,,DSPY000738,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3667284,-88.697034
DSPY000872,Lift Medical Cannabis Inc,Dispensary,Tunica County,,,"Ronald Jones, Erik Fisher, Stanley Rojeski","13118 HIGHWAY 61 N ROBINSONVILLE, MS 38664","13118 HIGHWAY 61 N STE 118 ROBINSONVILLE, MS 38664",(901) 619-2665,mshomegrowncannabis@gmail.com,,,,DSPY000872,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.8325977,-90.27619349999999
DSPY014276,"Local Remedy, LLC",Dispensary,Washington County,,,"Local Remedy MS, LLC","2512 HIGHWAY 82 E GREENVILLE, MS 38703","2088 OLD TAYLOR RD OXFORD, MS 38655",(601) 506-6585,localremedyms@gmail.com,,,,DSPY014276,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.4003748,-91.01585620000002
DSPY016725,"Local Remedy, LLC",Dispensary,Hinds County,,,"Local Remedy MS, LLC","110 BYRAM DR BYRAM, MS 39272","2088 OLD TAYLOR RD OXFORD, MS 38655",(601) 506-6585,localremedyms@gmail.com,,,,DSPY016725,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.1892354,-90.26352779999999
DSPY016825,"Local Remedy, LLC",Dispensary,Hinds County,,,"Local Remedy MS, LLC","1667 LAKELAND DR JACKSON, MS 39216","2088 OLD TAYLOR RD OXFORD, MS 38655",(601) 506-6585,localremedyms@gmail.com,,,,DSPY016825,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3337197,-90.14465369999999
DSPY010924,Long Beach Dispensary LLC,Dispensary,Harrison County,,,Long Beach Disensary LLC,"520 E RAILROAD ST STE A LONG BEACH, MS 39560","520 E RAILROAD ST STE A LONG BEACH, MS 39560",(228) 209-6724,paul@jpaulbarberlaw.com,,,,DSPY010924,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3544801,-89.1413056
DSPY016657,Love's Harvest,Dispensary,Pike County,,,Dreka Gates,"601 S RAILROAD BLVD MCCOMB, MS 39648","1412 DELAWARE AVE # 352 MCCOMB, MS 39648",(213) 808-2895,dreka@lovesharvest.com,,,,DSPY016657,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.2371249,-90.4505685
DSPY018017,LunaSol LLC,Dispensary,DeSoto County,,,"Natasha Gray, Curio WMBE Fund, LLC","8101 HACKS CROSS RD STE 600 OLIVE BRANCH, MS 38654","511 SPRUCE LN STARKVILLE, MS 39759",(662) 312-0575,sederia@livelunasol.com,,,,DSPY018017,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.9777913,-89.7958274
DSPY018704,"Mageedp, LLC",Dispensary,Attala County,,,"Mageedp, LLC","125 VETERANS MEMORIAL DR KOSCIUSKO, MS 39090","412 PORT ARBOR BRANDON, MS 39047",(601) 832-8289,kanwaljit8289@gmail.com,,,,DSPY018704,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.0584326,-89.5706441
DSPY012475,"Magnolia Dispensaries, LLC.",Dispensary,Warren County,,,"BRCC Holdings, LLC","3046 INDIANA AVE VICKSBURG, MS 39180","5440 HIGHLAND DR JACKSON, MS 39206",(601) 790-1255,info@greentreewellnessms.com,,,,DSPY012475,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3291493,-90.864609
DSPY013123,"Magnolia Green Gulf Coast Cannabis, LLC",Dispensary,Hancock County,,,"Bart Bacigalupi, Troy Sider, Stanley Saucier","940 HIGHWAY 90 WAVELAND, MS 39576","940 HIGHWAY 90 WAVELAND, MS 39576",(504) 319-5794,admin@magnoliagreen.org,,,,DSPY013123,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.2993335,-89.4027751
DSPY016923,"Magnolia Green Gulf Coast Cannabis, LLC",Dispensary,Hancock County,,,"Bart Bacigalupi, Troy Sider, Stanley Saucier","1060 HIGHWAY 90 BAY ST LOUIS, MS 39520","1060 HIGHWAY 90 A BAY ST LOUIS, MS 39520",(504) 319-5794,admin@magnoliagreen.org,,,,DSPY016923,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3129255,-89.35734579999999
DSPY007643,Magnolia Greens LLC,Dispensary,Lincoln County,,,"Isluv Robertson, Dennis Sanders, Magnolia Greens","101 WHITEBROOK DR BROOKHAVEN, MS 39601","101 WHITEBROOK DR BROOKHAVEN, MS 39601",(662) 897-4550,densan2006@gmail.com,,,,DSPY007643,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.5754049,-90.4573324
DSPY007536,"Magnolia Medical Cannabis Company, LLC",Dispensary,Lafayette County,,,Jeff Capwell,"2570 JACKSON AVE W OXFORD, MS 38655","105 DOUGLAS DR OXFORD, MS 38655",(901) 481-9862,ross@magnolia-cannabis.com,,,,DSPY007536,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.3603972,-89.56725349999999
DSPY001837,Mary Jane & Herb's LLC,Dispensary,Lamar County,,,"Lady Hood, Jennifer Allen, Michael Keenum, Lacy McClain, Michael Haddox","135 THORNHILL DR HATTIESBURG, MS 39402","60 HARDIE RD SUMRALL, MS 39482",(601) 297-7517,michaelhad@msn.com,,,,DSPY001837,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.3266409,-89.3508099
DSPY005817,"Med-RE-D, LLC",Dispensary,DeSoto County,,,"The Homeopathic Company, LLC","120 CHRISTOPHER LN NESBIT, MS 38651","1076 HIGHLAND COLONY PKWY RIDGELAND, MS 39157",(615) 351-6205,evan@sbi.health,,,,DSPY005817,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.8975124,-89.992395
DSPY000154,"Med-RE-D, LLC",Dispensary,Panola County,,,"The Homeopathic Company, LLC","211 HOUSE CARLSON DR BATESVILLE, MS 38606","1076 HIGHLAND COLONY PKWY RIDGELAND, MS 39157",(615) 351-6205,evan@sbi.health,,,,DSPY000154,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.3027873,-89.9187591
DSPY002206,"Medical Cannabis of MS, LLC",Dispensary,Bolivar County,,,"James McClellan, James McClellan","717 N DAVIS AVE CLEVELAND, MS 38732","717 N DAVIS AVE CLEVELAND, MS 38732",(662) 545-9333,medcanms@gmail.com,,,,DSPY002206,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.7574516,-90.7162951
DSPY013522,"Milgray Wellness II, LLC",Dispensary,Grenada County,,,"Milgray Holdings, Inc.","1329 SUNSET DR GRENADA, MS 38901","504 MILGRAY CIR CALERA, AL 35040",(205) 403-5270,allison.simpson@butlersnow.com,,,,DSPY013522,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.7779038,-89.82644909999999
DSPY009124,"Mississippi Dispensary Investments 1, LLC",Dispensary,Harrison County,,,"Mississippi Dispensary Investments 1, LLC","2389 PASS RD STE 207 BILOXI, MS 39531","425 W CAPITOL AVE STE 1350 LITTLE ROCK, AR 72201",(228) 222-8372,biloximsdisp@gmail.com,,,,DSPY009124,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.40142359999999,-88.9753898
DSPY008343,"Mississippi Dispensary Investments 2, LLC",Dispensary,Lincoln County,,,"Mississippi Dispensary Investments 2, LLC","106 STRIBLING DR STE 207 BROOKHAVEN, MS 39601","425 W CAPITOL AVE STE 1350 LITTLE ROCK, AR 72201",(601) 748-7982,brookhavenmsdisp@gmail.com,,,,DSPY008343,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.5793818,-90.4794466
DSPY009534,"Mississippi Dispensary Investments 3, LLC",Dispensary,Jones County,,,"Mississippi Dispensary Investments 3, LLC","310 S 16TH AVE STE 207 LAUREL, MS 39440","425 W CAPITOL AVE STE 1350 LITTLE ROCK, AR 72201",(601) 804-5115,laurelmsdisp@gmail.com,,,,DSPY009534,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.6872701,-89.14719269999999
DSPY002624,Mississippi Green Spa LLC,Dispensary,Harrison County,,,"US Canna Mississippi, LLC","771 WATER ST BILOXI, MS 39530","9014 SUNTREE LN GULFPORT, MS 39503",(228) 363-4888,uscannams@gmail.com,,,,DSPY002624,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.394548,-88.888043
DSPY014644,Mississippi Magnolia Canna,Dispensary,Lowndes County,,,Mississippi Magnolia Canna,"1223 HIGHWAY 45 N COLUMBUS, MS 39705","1223 HIGHWAY 45 N COLUMBUS, MS 39705",(662) 364-0007,mississippimagnoliacanna@gmail.com,,,,DSPY014644,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.509662,-88.433836
DSPY005630,"Mississippi Provisions 1, LLC",Dispensary,Jackson County,,,"Mississippi Provisions, LLC","1223 BIENVILLE BLVD APT B5 OCEAN SPRINGS, MS 39564","1723 University Avenue Suite B, #105 Oxford, MS 38655",(303) 709-2400,steve@rootdownms.com,,,,DSPY005630,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4163674,-88.82238009999999
DSPY005275,"Mississippi Provisions 3, LLC",Dispensary,Warren County,,,"Mississippi Provisions, LLC","3312 PEMBERTON SQUARE BLVD APT B5 VICKSBURG, MS 39180","1723 UNIVERSITY AVE UNIT B, 105 OXFORD, MS 38655",(303) 709-2400,provisions3@msprovisions.com,,,,DSPY005275,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3153697,-90.8786489
DSPY006530,"Mississippi Provisions 4, LLC",Dispensary,Jackson County,,,"Mississippi Provisions, LLC","3600 GAUTIER VANCLEAVE RD B5 GAUTIER, MS 39553","3600 GAUTIER VANCLEAVE RD GAUTIER, MS 39553",(303) 709-2400,provisions4@msprovisions.com,,,,DSPY006530,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3938774,-88.65105989999999
DSPY006623,"Mississippi Provisions 5, LLC",Dispensary,Hancock County,,,"Mississippi Provisions, LLC","624 HWY 90 Apt B5 BAY ST LOUIS, MS 39520","1723 University Avenue Suite B, #105 Oxford, MS 38655",(303) 709-2400,provisions5@msprovisions.com,,,,DSPY006623,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3176623,-89.3433099
DSPY004438,"Mississippi Provisions 6, LLC",Dispensary,Lauderdale County,,,"Mississippi Provisions, LLC","5015 HIGHWAY 493 APT B5 MERIDIAN, MS 39305","1723 UNIVERSITY AVE OXFORD, MS 38655",(303) 709-2400,steve@rootdownms.com,,,,DSPY004438,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.4119836,-88.70038079999999
DSPY014330,"MS Mudd 1, LLC",Dispensary,Jackson County,,,"MS Mudd, LLC","3430 MAIN ST B5 MOSS POINT, MS 39563","1723 UNIVERSITY AVE Suite B, #105 OXFORD, MS 38655",(303) 434-1803,tpettennude@gmail.com,,,,DSPY014330,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3912999,-88.53550539999999
DSPY004630,"MS Mudd 2, LLC",Dispensary,Jackson County,,,"MS Mudd, LLC","1809 DENNY AVE APT B5 PASCAGOULA, MS 39567","1723 UNIVERSITY AVE OXFORD, MS 38655",(303) 434-1803,mudd2@muddms.com,,,,DSPY004630,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3714728,-88.5449385
DSPY003745,"MS Mudd 3, LLC",Dispensary,Madison County,,,"MS Mudd, LLC","117 SIDNEY RUNNELS DR APT B5 CANTON, MS 39046","1723 UNIVERSITY AVE OXFORD, MS 38655",(303) 434-1803,tpettennude@gmail.com,,,,DSPY003745,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.6079615,-90.0681398
DSPY006961,"MS Mudd 4, LLC",Dispensary,Rankin County,,,"MS Mudd, LLC","1401 HIGHWAY 49 S APT B5 RICHLAND, MS 39218","1723 UNIVERSITY AVE Suite B, #105 OXFORD, MS 38655",(303) 434-1803,tpettennude@gmail.com,,,,DSPY006961,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.2064236,-90.14844230000001
DSPY010318,Nature Med MS LLC,Dispensary,Forrest County,,,"Rohit Patel, Mahendrabhai Patel, Neelkumar Patel, Hipal Patel","6401 U S HIGHWAY 49 HATTIESBURG, MS 39401","50 E YELLOWSTONE HATTIESBURG, MS 39402",(386) 292-9878,naturemedms@gmail.com,,,,DSPY010318,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.3433656,-89.3302334
DSPY003145,NUURR INC.,Dispensary,Madison County,,,Muskkan Gosain,"1536 W PEACE ST CANTON, MS 39046","1536 W PEACE ST CANTON, MS 39046",(601) 622-5641,jaygosain@gmail.com,,,,DSPY003145,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.6058444,-90.0718851
DSPY019961,Oddfellow Dispensary,Dispensary,Rankin County,,,"Sarah Dailey, Angela Duais","890 HIGHWAY 49 S RICHLAND, MS 39218","890 HIGHWAY 49 S STE D RICHLAND, MS 39218",(601) 540-6251,srhdailey@gmail.com,,,,DSPY019961,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.2419215,-90.16525510000001
DSPY011725,PARADISE VIBES,Dispensary,Hinds County,,,LABRITTANI JAMES,"125 W NORTHSIDE DR JACKSON, MS 39206","125 W NORTHSIDE DRIVE F JACKSON, MS 39206",(318) 617-3504,labrittanij@gmail.com,,,,DSPY011725,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3550409,-90.1777044
DSPY003418,PINE BELT MEDICINAL,Dispensary,Forrest County,,,JOHN GOODSPEED,"3702 HARDY ST HATTIESBURG, MS 39402","283 TIDEWATER RD HATTIESBURG, MS 39402",(601) 968-7385,amyrobinson137@gmail.com,,,,DSPY003418,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.3242814,-89.3441305
DSPY010125,"River Remedy Byram Dispensary, LLC",Dispensary,Hinds County,,,"Bennie Rawson, William Chism, Robert McLarty, William Chism, EDM Holdings, LLC, Hinds Holdings, LLC, EBC Investment Holdings LLC","5925 I 55 S BYRAM, MS 39272","PO BOX 721270 BYRAM, MS 39272",(601) 918-1851,brad@chismstrategies.com,,,,DSPY010125,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.1797161,-90.2607215
DSPY020425,"Rootdown 1, LLC",Dispensary,Hinds County,,,Rootdown LLC,"3 LAKELAND CIR JACKSON, MS 39216","2088 OLD TAYLOR RD OXFORD, MS 38655",(662) 832-7676,rootdown1@rootdownms.com,,,,DSPY020425,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3336663,-90.1327901
DSPY013422,"Rootdown 3, LLC",Dispensary,Grenada County,,,Rootdown LLC,"1660 SUNSET DR B5 GRENADA, MS 38901","1723 University Avenue Suite B, #105 Oxford, MS 38655",(662) 832-7676,ross@rossethridge.com,,,,DSPY013422,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.7859232,-89.83510220000001
DSPY003825,"Rootdown 4, LLC",Dispensary,Hinds County,,,Rootdown LLC,"4775 OLD CANTON RD APT B5 JACKSON, MS 39211","1723 University Avenue Suite B, #105 Oxford, MS 38655",(662) 832-7676,rootdown4@rootdownms.com,,,,DSPY003825,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3607457,-90.1464539
DSPY012525,"Rooted In Wellness, LLC",Dispensary,Hinds County,,,"Larry Bolton, Charles Lewis, Montina Fletcher-Lewis","1835 W NORTHSIDE DR JACKSON, MS 39213","PO BOX 720153 BYRAM, MS 39272",(601) 454-4278,rootedinwellnessms@gmail.com,,,,DSPY012525,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3556168,-90.2066263
DSPY019224,"RymedyRx, LLC",Dispensary,Harrison County,,,"Brian Chevallier, Robert Riemann","15223 CREOSOTE RD GULFPORT, MS 39503","520 CHAMPLIN ST GULFPORT, MS 39507",(228) 297-5067,addisonriemann@gmail.com,,,,DSPY019224,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4276013,-89.0954823
DSPY019642,"SB Greenwood, LLC",Dispensary,Leflore County,,,"Bridgett Green, Krista Beck, Three Rivers Investments, LLC, SNB Therapies, LLC, SAT, LLC, SB Greenwood, LLC","2218 HIGHWAY 82 W STE A GREENWOOD, MS 38930","2218 HIGHWAY 82 W STE A GREENWOOD, MS 38930",(662) 457-0088,doug@starbuds.us,,,,DSPY019642,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.5289871,-90.223142
DSPY015501,"SB Natchez, LLC",Dispensary,Adams County,,,"James McCabe, Mississippi Health Consultants, LLC","135 HIGHWAY 61 S NATCHEZ, MS 39120","135 HIGHWAY 61 S STE 1 NATCHEZ, MS 39120",(662) 457-0088,doug@starbuds.us,,,,DSPY015501,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.5181524,-91.386157
DSPY018630,"SB O Springs, LLC",Dispensary,Jackson County,,,"Kylie Williams, Baylea Pontius, Bridgett Green, Krista Beck, SNB Therapies, LLC, SAT, LLC, SB O Springs, LLC","718 BIENVILLE BLVD OCEAN SPRINGS, MS 39564","718 BIENVILLE BLVD STE A OCEAN SPRINGS, MS 39564",(662) 457-0088,doug@starbuds.us,,,,DSPY018630,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4156402,-88.8317263
DSPY011836,SB Oxford,Dispensary,Lafayette County,,,"Jessica Turner, Bridgett Green, Krista Beck, J9 Holdings, LLC, SAT, LLC, SB OXFORD, LLC","1319 N LAMAR BLVD OXFORD, MS 38655","1319 N LAMAR BLVD A OXFORD, MS 38655",(662) 457-0088,doug@starbuds.us,,,,DSPY011836,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.38164140000001,-89.51044069999999
